corp_name,corp_code,stock_code,liabilities_ratio,current_ratio,retention_rate,gross_profit_rate,net_profit_rate,ROE,sales_growth_rate,profit_change_rate,cashdivide,dividend,divide_count,VHF,updown,beta,financial_stability,profitability,volatility,growth,dividend_stability,final_label
미창석유공업,122056,3650,14.181845991702,621.396521553653,4154.55509338542,15.105315741369802,12.1521529495058,14.1275572083968,0.24079438760311,0.173063491098892,3.8,8.89,3,39.0243902439024,-1.65,0.16,A,B,B,C,C,ABBCC
켐트로스,1089350,220260,58.6254369973163,112.891329749137,2222.55102928812,15.8867619383482,5.90642694327246,4.54490497994678,-0.57661985156097,-0.140108757935958,3.8,8.89,0,52.911392405063296,2.73,1.75,C,B,B,C,C,CBBCC
에이비온,977377,203400,346.888682598388,42.7311828125281,-31.8777528077849,1.24316544013853,-2292.29835002194,-292.711447024774,-8.0377985199308,-1.0,3.8,8.89,0,77.9045643153527,25.26,1.93,C,B,B,C,C,CBBCC
한일화학,267979,7770,20.198455653478,216.469538320126,6343.28182358974,0.92902298154497,-7.17111043849022,-6.56040763069014,0.1047491450293099,-1.0,0.3,-1.0,3,32.9896907216495,1.42,0.56,A,B,B,B,C,ABBBC
한양디지텍,488989,78350,88.5759015673428,113.039140719409,1638.66948420736,5.32403099720821,2.5293927082875,9.27115402257172,16.440281111555798,-0.193061081606904,0.3,-1.0,0,35.3497164461248,17.04,1.17,C,B,B,C,C,CBBCC
제노포커스,983916,187420,135.602842647077,56.051953227886,125.26752725913,36.7088647375543,-73.0237824409227,-40.2072276538486,11.9775639655062,-1.0,0.3,-1.0,0,54.5150501672241,-28.35,0.86,C,B,B,B,C,CBBBC
애드바이오텍,1022902,179530,98.8417838931303,141.090452471739,248.595431731763,34.9403384352601,-28.8910092238056,-17.6114884678035,-10.1582948505143,-1.0,0.3,-1.0,0,29.038112522686,-2.53,0.65,C,B,B,C,C,CBBCC
로보티즈,946030,108490,19.8567422663281,424.742135380819,1388.91948918964,50.19244489613391,-5.90917615575361,-1.69664951756907,10.3458479608904,-1.0,0.3,-1.0,0,54.8780487804878,36.0,1.82,A,B,B,B,C,ABBBC
우리기술,231044,32820,73.1444698075976,153.855224716483,17.7750896945533,40.598826564202,11.3823790638998,4.80493647414361,13.456466737623,-0.0159755082548452,0.3,-1.0,0,53.5211267605634,-0.77,0.62,C,B,B,B,C,CBBBC
한국기업평가,156956,34950,25.6430081585875,365.176908357283,255.549582812768,100.0,38.3404719110704,21.0973976257512,-2.50975946697225,0.033444754359333,4.8,112.3,3,49.0196078431373,10.72,0.12,C,A,A,C,A,CAACA
아이티아이즈,1429840,372800,157.66165354434,122.324366218762,403.995516966181,5.02834438460724,-9.99946743015583,-38.7267897657696,-1.41425083207388,-1.0,4.8,112.3,0,36.7272727272727,-4.16,0.71,B,B,B,C,C,BBBCC
위닉스,293886,44340,50.2704000543454,105.953296797694,2268.47795945097,19.4291215560175,0.705604777969486,0.912358905472752,-10.1457423888052,-0.328875107641963,2.84,47.63,3,30.2564102564103,-5.54,0.6,C,B,B,C,C,CBBCC
프로이천,1359736,321260,19.4304985119834,519.409776319528,1099.63866562685,31.4615940499322,11.1269141979462,10.4462446788859,-1.13787830319974,-1.0,2.84,47.63,0,35.1351351351351,22.76,1.49,A,B,B,C,C,ABBCC
율촌화학,145260,8730,122.077009526884,93.8606369768364,1940.83114232985,4.60420790628365,-4.11739997740837,-5.36937410267179,-5.62307057062443,-1.0,0.8,0.0,3,24.468085106383,-13.03,1.98,C,B,B,C,C,CBBCC
티에이치엔,118965,19180,138.330944923708,111.792432501507,1044.47049527778,8.27749355254343,6.84023437060532,23.2586814707366,9.71238890263652,0.694038607349569,1.7,3.9,3,47.9452054794521,0.0,0.63,C,B,B,C,C,CBBCC
삼륭물산,125488,14970,40.126528411145,113.357684109216,731.61317368595,11.0033070733551,1.97085344889889,1.36679488496818,7.7419834126453795,-0.227809084194996,2.04,55.7,3,42.8571428571429,-25.13,0.35,C,B,B,B,C,CBBBC
한국철강,687711,104700,14.1728373325531,815.444283165861,1820.16403368078,14.0728935985229,7.53285926489669,8.00467215508783,0.68870734406725,-0.111646207981145,6.1,22.78,3,45.4545454545455,8.05,0.75,A,B,A,B,C,ABABC
웰크론,362159,65950,66.4896304279117,89.3607949697518,420.927986771563,46.0063246014562,-1.43775860049593,-1.52702050911961,-7.537905815435019,-1.0,6.1,22.78,0,43.046357615894,0.49,0.65,C,B,B,C,C,CBBCC
알비더블유,1303029,361570,53.1682709055042,65.8831754771885,439.177732548892,21.1384076954318,-2.14361451708112,-1.06539952090193,-2.24184958669586,-1.0,6.1,22.78,0,35.6521739130435,-8.85,0.94,C,B,B,C,C,CBBCC
한국석유공업,157991,4090,72.8147976697484,89.4288647247861,2763.88884456741,11.6994100667948,4.08374534663108,7.96714367752626,7.995974352674599,0.142008360536362,1.1,9.9,3,25.3086419753086,9.61,0.34,C,B,A,C,C,CBACC
